,0,3OH10,chitooctaose,eATP,self,sflg,sIF1,smock,snlp,sOGs,spep,sPGN
11579,AT5G54490,1,1,1,1,1,0,0,1,1,1,1
11580,AT5G54500,0,0,0,1,1,0,0,1,0,1,0
11581,AT5G54510,0,0,0,1,1,1,0,1,1,1,0
11582,AT5G54520,0,0,0,1,0,0,0,0,0,0,0
11583,AT5G54590,0,0,0,1,1,0,0,1,0,1,0
11584,AT5G54610,0,0,0,1,0,0,0,1,0,1,0
11585,AT5G54650,0,0,0,1,1,0,0,1,1,1,0
11586,AT5G54670,0,0,0,0,0,0,0,0,0,1,0
11587,AT5G54680,0,0,0,1,1,0,0,1,0,1,0
11588,AT5G54700,0,0,0,1,0,0,0,0,0,0,0
11589,AT5G54710,1,1,0,1,1,1,0,1,1,1,0
11590,AT5G54720,1,1,0,1,1,0,0,1,1,1,0
11591,AT5G54730,0,0,0,1,1,0,0,1,1,1,0
11592,AT5G54770,0,0,0,1,0,0,0,0,0,0,0
11593,AT5G54780,0,0,0,1,1,0,0,1,1,1,0
11594,AT5G54800,0,0,0,1,0,0,0,0,0,1,0
11595,AT5G54810,0,0,0,1,1,0,0,1,1,1,0
11596,AT5G54830,0,0,0,1,1,0,0,1,0,1,0
11597,AT5G54840,0,0,0,1,1,0,0,1,1,1,0
11598,AT5G54850,0,0,0,1,1,0,0,1,1,1,0
11599,AT5G54860,1,1,0,1,1,0,0,1,1,1,0
11600,AT5G54870,0,0,0,1,1,0,0,1,0,1,0
11601,AT5G54900,0,0,0,1,0,0,0,0,0,0,0
11602,AT5G54910,0,0,0,1,0,0,0,0,0,0,0
11603,AT5G54920,0,0,0,1,0,0,0,0,0,0,0
11604,AT5G54930,0,0,0,1,1,0,0,1,0,1,0
11605,AT5G54960,0,0,0,1,0,0,0,1,0,1,0
11606,AT5G54970,0,0,0,1,0,0,0,0,0,0,0
11607,AT5G55010,0,1,0,0,0,1,0,0,1,1,1
11608,AT5G55040,0,0,0,1,1,0,0,1,1,1,0
11609,AT5G55050,1,0,0,1,1,1,0,1,1,1,0
11610,AT5G55060,0,0,0,0,0,0,0,0,0,1,0
11611,AT5G55070,0,0,0,1,1,0,0,1,0,1,0
11612,AT5G55090,0,0,0,1,1,0,0,1,1,1,0
11613,AT5G55100,0,0,0,1,1,0,0,0,0,1,0
11614,AT5G55120,0,0,0,1,1,0,0,1,1,1,0
11615,AT5G55130,0,0,0,1,1,0,0,1,0,1,0
11616,AT5G55170,0,0,0,1,0,0,0,0,0,0,0
11617,AT5G55180,0,0,0,1,0,0,0,0,0,1,0
11618,AT5G55200,0,0,0,1,0,0,0,0,0,0,0
11619,AT5G55250,0,0,1,0,1,0,0,0,0,0,0
11620,AT5G55300,0,0,0,0,1,0,0,0,0,1,0
11621,AT5G55310,0,0,0,1,1,0,0,1,0,1,0
11622,AT5G55390,0,0,0,0,0,0,0,0,0,1,0
11623,AT5G55450,0,0,0,0,0,0,0,0,1,0,0
11624,AT5G55460,0,0,0,1,0,0,0,0,0,1,0
11625,AT5G55480,0,0,0,1,0,1,1,0,0,0,0
